"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of nucleobase-containing compound metabolic process","GO:0019219","0.032498891097233494","1.488131457438621","711","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","ethanol metabolic process","GO:0006067","0.032498891097233494","1.488131457438621","2","90","1","39530","LOC111118136"
"GO:BP","organic hydroxy compound metabolic process","GO:1901615","0.032498891097233494","1.488131457438621","83","154","3","39530","LOC111110464,LOC111118136,LOC111126361"
"GO:BP","aldehyde biosynthetic process","GO:0046184","0.032498891097233494","1.488131457438621","6","29","1","39530","LOC111110464"
"GO:BP","glycerolipid metabolic process","GO:0046486","0.032498891097233494","1.488131457438621","80","325","4","39530","LOC111122333,LOC111136051,LOC111102071,LOC111101249"
"GO:BP","alcohol metabolic process","GO:0006066","0.032498891097233494","1.488131457438621","34","385","3","39530","LOC111118136,LOC111126361,LOC111103307"
"GO:BP","peptide transport","GO:0015833","0.032498891097233494","1.488131457438621","3","55","1","39530","LOC111121262"
"GO:BP","spliceosomal tri-snRNP complex assembly","GO:0000244","0.032498891097233494","1.488131457438621","2","73","1","39530","LOC111119756"
"GO:BP","regulation of cellular biosynthetic process","GO:0031326","0.032498891097233494","1.488131457438621","705","240","11","39530","LOC111119651,LOC111124727,LOC111124726,LOC111125017,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","macromolecule metabolic process","GO:0043170","0.03273061125311652","1.485045884048038","4138","243","39","39530","LOC111108931,LOC111131721,LOC111104113,LOC111136710,LOC111103474,LOC111122333,LOC111120401,LOC111119756,LOC111119758,LOC111119651,LOC111118433,LOC111119745,LOC111125599,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111127542,LOC111126744,LOC111124727,LOC111124726,LOC111124731,LOC111125017,LOC111124498,LOC111127463,LOC111124500,LOC111127813,LOC111136760,LOC111137641,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111134949,LOC111136551,LOC111135254,LOC111137258"
